DATETIME;DOCUMENT;USERNAME;COMPUTER;PRINTER;COUNT
2019-04-30 11:18:45.922029;Безымянный — Блокнот;solodovnikov_am;\\PSUSRVKR;Office;1
2019-04-30 11:20:09.954893;Безымянный — Блокнот;solodovnikov_am;\\PSUSRVKR;Office;4
2019-04-30 11:22:06.894638;Акт-выверки-3568-20180701-20181231.pdf.pdf;konstantinova_ls;KRMPZX505;Office_mb1;3
2019-04-30 11:29:01.402596;FastReport: Возвратная накладная (просмотр);martynenko.av;ST186SB;Office_mb5;1
2019-04-30 11:29:07.043331;Microsoft Word - Документ1;moshnova_iv;KRMPZX473;Office_mb1;1
2019-04-30 11:29:46.044079;Microsoft Word - 3780 ИП ДОГОВОР Куржиева Ю В;boriskina.no;KRMPZX648;Office_mb3;4
2019-04-30 11:30:27.357372;Microsoft Word - Документ1;moshnova_iv;KRMPZX473;Office_mb1;1
2019-04-30 11:31:07.670647;FastReport: Возвратная накладная (просмотр);martynenko.av;ST186SB;Office_mb5;2
2019-04-30 11:31:33.624269;Microsoft Word - Документ1;moshnova_iv;KRMPZX473;Office_mb1;1
2019-04-30 11:33:51.767546;Microsoft Word - Документ Microsoft Word;aleynikova_nv;KRMPZX655;Office_mb1;1
2019-04-30 11:35:14.066002;Microsoft Word - Документ Microsoft Word;aleynikova_nv;KRMPZX655;Office_mb1;1
2019-04-30 11:35:51.051088;Microsoft Word - Документ Microsoft Word;aleynikova_nv;KRMPZX655;Office_mb1;1
2019-04-30 11:36:28.692434;Microsoft Word - Документ Microsoft Word;aleynikova_nv;KRMPZX655;Office_mb1;1
2019-04-30 11:36:31.286234;FastReport: Возвратная накладная (просмотр);martynenko.av;ST186SB;Office_mb5;1
2019-04-30 11:38:53.351461;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:40:13.212370;2274365.pdf;bekker.na;KRMPZX330;kr_tovar_1;12
2019-04-30 11:40:24.712591;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:40:50.947470;Microsoft Word - Документы.docx;chistyakova_oa;KRMPZX643;Office_mb5;1
2019-04-30 11:41:19.854275;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:43:31.216171;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:43:54.732248;Microsoft Office Outlook - Заметка;martynenko.av;ST186SB;Office_mb5;1
2019-04-30 11:44:38.545589;Схема оповещения Краснодар.xlsx;filonov.va;KRMPZX637;KFS_M425;2
2019-04-30 11:45:01.436653;Распоряжение Крд.pdf;filonov.va;KRMPZX637;KFS_M425;2
2019-04-30 11:45:34.077906;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:46:13.844294;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:46:49.469978;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:47:36.783386;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:50:15.817690;Microsoft Word - Документ Microsoft Word _3_;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 11:50:32.583637;L:\Office\СБЫТ\СЗ в ГП\11.xps;kirilenko_kv;ST179SB;Office_mb3;2
2019-04-30 12:07:22.181147;Microsoft Word - 3780 ИП ДОГОВОР Куржиева Ю В _2_;boriskina.no;KRMPZX648;Office_mb3;3
2019-04-30 12:09:27.292923;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:10:11.825027;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:10:29.262863;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:10:39.481810;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:10:48.575733;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:10:56.997770;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:11:11.216793;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:11:18.904442;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:11:27.420229;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:11:35.107878;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:11:48.186255;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:12:31.624586;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:12:42.843554;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:13:04.468967;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:13:11.719107;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:13:11.859735;Список арендаторов с телефонами и фамилиями.xlsx;filonov.va;KRMPZX637;KFS_M425;1
2019-04-30 12:13:25.469370;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:13:33.188271;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
